step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
10000,-231.14614105671643,72.99233540369866,0.0,0.0,-1000.0,0.0,0.10000000149011612,35.698726177215576
20000,-178.4635670851916,69.04881059007806,1.9,5.700000000000001,-1000.0,0.0,0.04272150620818138,233.56862711906433
30000,26.030678805708884,627.7857555870042,289.8,432.79251379847136,-736.0,405.01259239682906,0.021921122446656227,432.89725828170776
40000,83.18455795347691,605.9727692748003,293.7,448.6457511221966,-733.7,407.04964070737117,0.031275082379579544,632.0714254379272
50000,292.28893937170506,679.1252262860487,477.7,473.60554261959396,-732.8,408.5760149592729,0.03344033285975456,832.2141094207764
60000,593.1572695214302,515.3065162844968,672.0,421.7812229106459,-656.8,421.8150779666369,0.03628866374492645,1031.246640920639
70000,823.5345186397433,321.93198849796505,861.7,287.81732053509216,-306.6,349.0731155503099,0.038095586001873016,1226.0892429351807
80000,685.9814723934978,470.4492544248951,757.1,379.64995719741626,-393.3,398.38274310014987,0.039739105850458145,1421.77277135849
90000,729.3377101667226,418.16789619148534,771.4,369.06156667959885,-386.5,403.7816860631497,0.04282715916633606,1617.7771694660187
100000,637.3747488632798,487.5248400239644,682.1,442.84883425385686,-456.9,444.13971900743127,0.03729118034243584,1815.157951593399
110000,717.4512727845461,413.0532089948417,763.9,373.68100031979145,-565.9,436.11912363481605,0.032972827553749084,2013.5362467765808
120000,910.4412933401763,62.85542378929917,947.3,38.67053141605375,-393.8,398.5693916998645,0.03345335274934769,2209.597949028015
130000,765.8582213055342,523.571432949611,867.2,289.87645644308543,-464.0,439.0701538478788,0.03060823678970337,2406.4575304985046
140000,746.9625010117888,412.5115906883799,775.7,388.0734595408452,-361.9,418.08167862273035,0.028329404070973396,2602.9811732769012
150000,822.6706032551825,382.38789260436215,873.0,283.8813132279052,-493.3,414.9573592551408,0.027863740921020508,2800.097482919693
160000,941.3241902016103,39.95626045101915,961.3,31.221947408834062,-469.9,434.7874078213397,0.022369753569364548,2997.088758468628
170000,930.966263166815,39.04268821132964,960.6,23.10930548502053,-136.1,54.04155808264599,0.02485763467848301,3190.912999868393
180000,917.7224371600896,60.64388608820795,944.6,44.23844481895809,-237.2,278.4596200528903,0.02139700949192047,3386.022091627121
190000,596.0701910868287,530.5785108625514,695.8,411.8275852829677,-639.3,441.8760120214719,0.02059759944677353,3585.457218647003
200000,947.2660600371659,29.158314242108617,968.7,16.535114151405185,-355.7,422.65045841688135,0.020585251972079277,3780.9268403053284
210000,716.5861908588558,423.185971745192,766.3,381.6970133495938,-378.2,408.5255928335457,0.018563691526651382,3975.8870882987976
220000,918.4803566992283,56.10969863129833,956.8,26.928794997177278,-323.4,350.9892306040172,0.01840638741850853,4170.585081577301
230000,770.5632219627499,587.7621220993639,881.8,294.356178803843,-343.0,430.76559751215046,0.017981452867388725,4365.697999238968
240000,723.7018354006111,466.49992224298086,781.6,390.95145478690824,-742.4,394.7450316343449,0.018953783437609673,4565.010784864426
250000,889.933301012963,109.67242135663003,935.3,65.46762558700293,-461.8,441.2209877147732,0.016799835488200188,4760.639061927795
260000,930.3668786168098,37.8620406156343,960.4,24.004999479275146,-299.9,357.95123969613513,0.01608847640454769,4954.7118401527405
270000,930.7307698212564,56.699099114889364,952.7,49.167163839294204,-639.2,442.00493209917914,0.015478430315852165,5155.414697408676
280000,970.2608330875635,19.0863785766255,982.9,11.58835622510803,-543.7,457.69270258547925,0.014769600704312325,5355.545928955078
290000,964.1403452411294,35.00777335323306,981.1,16.658031096140984,-348.2,426.81279268550514,0.016030697152018547,5554.1639840602875
300000,954.7943429417908,21.304357377594542,972.0,14.449913494550755,-299.4,365.3946359759541,0.015255582518875599,5751.301113128662
