step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
10000,-231.14614105671643,72.99233540369866,0.0,0.0,-1000.0,0.0,0.10000000149011612,35.94851064682007
20000,-246.53196649104356,63.42863631246577,0.0,0.0,-1000.0,0.0,0.03961702436208725,243.32964301109314
30000,-236.5041486211121,67.09777839680926,2.4,7.200000000000001,-1000.0,0.0,0.01603434421122074,447.8745765686035
40000,-232.20075522884727,100.9323136188428,16.6,49.800000000000004,-1000.0,0.0,0.006517346482723951,649.5564289093018
50000,-234.02340233251454,83.08521661321531,11.1,20.36884876471913,-1000.0,0.0,0.0026807235553860664,852.1446576118469
60000,-299.6532510697842,34.85020176786169,4.9,6.89129886160802,-1000.0,0.0,0.0011399340583011508,1054.9056689739227
70000,-162.2220693819225,335.58579774301506,90.8,264.7934289214897,-923.5,229.5,0.0005678112502209842,1257.6943318843842
80000,-458.17468117773535,140.68575794792287,0.0,0.0,-1000.0,0.0,0.0005175838596187532,1460.6834530830383
90000,-602.6359610848128,100.4156411990494,2.2,6.6,-1000.0,0.0,0.00062871805857867,1663.9792745113373
100000,-513.2066194072365,121.61322760664942,4.2,12.6,-1000.0,0.0,0.000628925277851522,1866.1120436191559
110000,-157.6772609245032,360.0672405896397,104.0,274.90034557999377,-1000.0,0.0,0.0007260740385390818,2067.579389810562
120000,-1105.6987121611833,340.464824694923,15.7,47.10000000000001,-1000.0,0.0,0.00046756750089116395,2269.537461042404
130000,-213.21397485025227,401.01066157817746,120.7,241.17589017146798,-930.5,208.5,0.0003853262751363218,2471.7012774944305
140000,-178.38018796667455,370.495261276282,120.2,272.97648250352995,-1000.0,0.0,0.00037995135062374175,2674.2445979118347
150000,-436.4676195647568,363.16022635920325,10.3,14.56056317592146,-1000.0,0.0,0.000497551925946027,2876.9418184757233
160000,-445.0103772420436,333.6042457251224,53.2,147.70836130700252,-1000.0,0.0,0.0006780946860089898,3080.695628643036
170000,-264.6638279687613,193.90761307095283,37.2,84.64726811894168,-1000.0,0.0,0.0009826326277107,3283.7206745147705
180000,-278.7458865262568,330.256769132402,70.4,211.2,-963.9,108.30000000000001,0.0014060857938602567,3485.501946210861
190000,-317.2506681710482,729.2228851935778,195.8,367.74415019140685,-956.7,129.9,0.0018712128512561321,3687.5305376052856
200000,-543.2996615648269,198.21903628446316,26.7,73.6057742300154,-1000.0,0.0,0.003408372402191162,3889.9155156612396
210000,-911.5656718090177,380.62844193450366,1.2,3.6000000000000005,-1000.0,0.0,0.003896567039191723,4091.3324558734894
220000,-621.5554313048721,276.9116937727754,0.9,1.8138357147217055,-1000.0,0.0,0.003124488750472665,4292.729742765427
230000,-588.8027868829668,523.7524284014804,100.1,284.4561301853064,-919.9,240.3,0.0042322478257119656,4493.868309020996
240000,-562.8846268102527,255.11976190339192,2.9,4.867237409455183,-1000.0,0.0,0.005538977682590485,4696.419118881226
250000,-330.95128715708853,461.4024071002241,98.3,288.2516435339095,-910.1,269.7,0.005797175690531731,4897.834537744522
260000,-321.94197753444314,436.5716881216257,88.4,256.56468969832935,-927.2,218.39999999999998,0.005771125666797161,5099.608309745789
270000,-209.4729194127023,545.1780982359004,182.6,353.77399565259174,-835.1,330.60322139991314,0.006670436821877956,5300.793830394745
280000,-284.37446788921955,500.8713127512342,97.5,291.1691089384312,-924.2,227.40000000000003,0.006221822928637266,5500.272457361221
290000,-352.5310302145779,746.0373876809114,213.8,383.52752182861667,-912.9,261.3,0.007319135125726461,5699.69957113266
300000,-334.7564180031419,490.51901296822604,101.3,287.98647537688294,-910.8,267.6,0.008917727507650852,5899.43240737915
