step,episode,episode_reward,episode_len,critic_loss,actor_loss,entropy,alpha
1000,1,-553.3936780765653,1000,,,,
2000,2,-869.2139919400215,1000,,,,
3000,3,-856.9572776705027,1000,,,,
4000,4,-997.8409433960915,1000,,,,
5000,5,-525.3823316022754,1000,,,,
6000,6,-760.5287010669708,1000,,,,
7000,7,-819.8789456635714,1000,,,,
8000,8,-305.5848040878773,1000,,,,
9000,9,-1028.2086746692657,1000,,,,
10000,10,-943.8021839261055,1000,,,,
11000,11,-433.68092215806246,1000,0.281247615814209,1.0554224252700806,-0.6139909625053406,0.09235967695713043
12000,12,411.2510934472084,1000,0.22114484012126923,1.4894253015518188,-0.5609117150306702,0.08619071543216705
13000,13,-306.8579676002264,1000,0.20136690139770508,1.6187113523483276,-0.6264375448226929,0.07932478189468384
14000,14,-225.95793296396732,1000,0.10312686860561371,2.2766919136047363,-0.40806835889816284,0.07271105796098709
15000,15,-173.5738360658288,1000,0.13107803463935852,2.630614757537842,-0.5902003049850464,0.06665284931659698
16000,16,-188.2233240455389,1000,0.13576707243919373,2.8166544437408447,-0.656053900718689,0.061104875057935715
17000,17,285.8309641368687,1000,0.10830488801002502,2.807583808898926,-0.6912083625793457,0.05602278187870979
18000,18,-302.8886223882437,1000,0.14691118896007538,2.3851072788238525,-0.8043495416641235,0.051449526101350784
19000,19,-285.75612061470747,1000,0.10867229104042053,3.378936767578125,-1.0564749240875244,0.0473187230527401
20000,20,-774.2720500230789,1000,0.14169839024543762,2.399456024169922,-1.0277867317199707,0.043366532772779465
