step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-175.01144347637893,94.50838392789375,28.2,56.4,-1020.0,0.0,0.09999999403953552,12.89150357246399
10000,-219.5966123662889,95.18708049881788,13.6,27.2,-1020.0,0.0,0.09999999403953552,27.812898874282837
20000,-131.27955716475844,53.867253580921215,10.0,12.263767773404714,-872.4,295.2,0.04337325319647789,205.2838613986969
30000,35.43019162788987,457.8956890657327,201.0,371.7762768117407,-892.4,255.2,0.020739024505019188,385.11554884910583
40000,308.4979744322598,530.9139342136108,400.6,463.1602746350339,-833.4,373.2,0.02102351002395153,565.2074420452118
50000,219.01418022587896,504.3139061419779,342.6,405.11706949966947,-878.4,283.2,0.026851950213313103,745.3763208389282
60000,252.2261720687151,482.6014706083866,345.6,423.2949798899108,-843.4,353.20000000000005,0.02631487511098385,925.5249962806702
70000,431.19847861230375,517.7479719791116,526.4,432.6386945246576,-473.8,452.73321062188495,0.02880537509918213,1105.6492874622345
80000,-183.50776788890363,910.2030189048452,376.6,461.2702461681222,-834.4,371.2,0.031895339488983154,1284.9906561374664
90000,105.56429079398512,420.504784350203,195.0,385.01948002666046,-662.4,437.97607240578793,0.03486311435699463,1463.6535980701447
100000,666.2589132875204,447.24995322318915,736.6,371.99817203851956,-474.6,446.4852069217971,0.03840611129999161,1642.075710773468
110000,258.5335022762418,581.2662978729778,391.4,479.4027951524688,-643.4,461.5667232372802,0.036228712648153305,1819.8676788806915
120000,920.1274312138557,32.81933422304348,950.0,23.891421054428722,-638.4,467.36264292303036,0.0358603298664093,1996.7946679592133
130000,209.37750354111193,1083.4781821655386,593.4,478.4644605401743,-475.4,444.7928056972145,0.03455660119652748,2175.0821783542633
140000,696.4775403782726,451.86090638994636,754.6,379.9387319029214,-316.2,356.9304694194655,0.0354648120701313,2354.381131887436
150000,549.2278842747212,437.66870575252017,624.2,398.20366648236677,-496.2,434.16420856629804,0.03953508660197258,2531.901751756668
160000,526.9520843029022,506.9237568491706,582.0,475.23173294720124,-283.2,369.3206736699152,0.03960040584206581,2710.844518184662
170000,705.3277176365257,432.24676682271706,762.8,357.6531280444783,-267.8,376.84606937050575,0.03727395460009575,2886.8155241012573
180000,706.1265742391348,476.10395650674866,777.0,388.6525440544549,-88.0,24.157814470684222,0.03459888696670532,3062.6320521831512
190000,213.57710324823856,1046.1386222474066,593.0,484.1834363131395,-93.8,48.95467291280782,0.03646329790353775,3236.8263034820557
200000,528.6640709400177,525.0794639350992,587.2,475.81063460162386,-658.6,442.8722614930856,0.03390698507428169,3415.403578042984
210000,519.3949755445122,524.6066636236467,592.4,456.8963120884212,-82.6,35.58988620380796,0.034344714134931564,3590.9824736118317
220000,685.7112280450762,455.5944469924538,756.2,378.4956538720095,-119.4,49.17153648199332,0.03304334729909897,3768.313642978668
230000,397.5754547461867,792.1019557298653,688.0,364.6669713588002,-458.0,459.7425366441526,0.03476555272936821,3949.3081951141357
