step,R_a_mean,R_a_std,R_b_mean,R_b_std,R_c_mean,R_c_std,alpha,wall_time
0,-273.87595843970774,65.55021015730982,0.0,0.0,-1020.0,0.0,0.10000000149011612,45.08860206604004
10000,-254.67479112446307,44.42188329321602,0.0,0.0,-1020.0,0.0,0.10000000149011612,92.30400776863098
20000,-307.0960827067494,53.606753268704665,9.8,19.6,-1020.0,0.0,0.039921876043081284,274.4500756263733
30000,-320.4925295248628,46.73388230646594,0.0,0.0,-1020.0,0.0,0.016745617613196373,454.85239124298096
40000,-462.59845083653926,145.24748884922965,1.4,2.8,-1020.0,1930.449108368309,0.007247167639434338,631.5320444107056
50000,-713.8671279758215,182.73848607424952,35.8,50.1533647924045,-1020.0,0.0,0.004468245431780815,827.4897654056549
60000,-217.51715027987956,62.14127832172745,2.8,3.655133376499413,-1020.0,0.0,0.007524942979216576,1009.3415112495422
70000,-322.72333332747223,125.87920846850912,38.6,77.19999999999999,-1020.0,1115.2,0.00852562952786684,1186.064249753952
80000,-343.2255278646946,136.25384363861343,0.0,0.0,-1020.0,0.0,0.00811731442809105,1369.748230457306
90000,-648.0447455167771,193.34428787414728,0.0,0.0,-1020.0,0.0,0.008279268629848957,1552.0001616477966
100000,-424.64511067569254,77.75291053678487,10.2,14.455448799674121,-1020.0,0.0,0.007758144289255142,1733.0311572551727
110000,-452.61728360801936,239.96933343568145,15.0,30.0,-1020.0,0.0,0.007128254510462284,1914.9228377342224
120000,-427.82875682339073,383.34909842514907,36.4,72.79999999999998,-1020.0,0.0,0.006875189952552319,2097.024120092392
130000,-652.0323685318232,237.9260104325369,15.6,20.558210038814178,-1020.0,0.0,0.0073082828894257545,2291.8474118709564
140000,-715.7863517388702,295.63086406886157,0.0,0.0,-1020.0,0.0,0.00679759681224823,2474.8715829849243
150000,-204.80859520733355,422.17183673065614,152.0,279.36427831775484,-1020.0,1075.6000000000001,0.006655072793364525,2654.439840555191
160000,-396.1000271141529,115.60662710678245,12.4,24.800000000000004,-1020.0,0.0,0.005981543101370335,2836.433809518814
170000,-317.21917574480176,138.83952144449975,0.0,0.0,-1020.0,0.0,0.0058167497627437115,3019.447119951248
180000,-331.69611902981995,96.07918934620898,2.0,4.0,-1020.0,1965.2268673107437,0.0059839049354195595,3193.2349665164948
190000,-365.26821253448725,88.59805046813699,6.6,13.199999999999998,-1020.0,0.0,0.0077680498361587524,3375.385586500168
200000,-80.76774184703827,509.81397943890346,206.6,348.9146600531425,-1020.0,0.0,0.006106510758399963,3556.954011440277
210000,-124.0444539576769,509.91669560602077,180.0,351.56165888788274,-1020.0,0.0,0.005163685884326696,3748.287768602371
220000,-430.37965441048146,198.6726244076868,22.0,27.992856231545932,-1020.0,0.0,0.005263213533908129,3922.000164747238
230000,-404.8951496548951,252.61267432689525,30.2,48.05163888984433,-1020.0,0.0,0.005365382879972458,4103.358804702759
240000,-323.0826667800546,177.6053448252704,0.0,0.0,-1020.0,802.1985789067443,0.005730721168220043,4280.736119031906
250000,-291.5555751770735,212.22775132631355,52.6,63.149346789970835,-1020.0,0.0,0.005617286078631878,4461.668985843658
260000,-7.1662678144872185,439.119731055766,180.4,348.43455626559205,-1020.0,1357.6,0.005823054816573858,4637.196196556091
270000,-493.7006957784295,354.96754415996594,18.2,24.119701490690133,-1020.0,1596.4,0.0059734308160841465,4814.733612298965
280000,-356.29277752041816,184.34282720414947,34.6,36.56008752724753,-1020.0,0.0,0.007633932400494814,4996.586485624313
290000,-431.9783660516143,104.0476854478389,2.6,5.2,-1020.0,1992.8000000000004,0.007556685712188482,5170.01874256134
300000,-381.8390744253993,204.3663581355121,5.6,8.522910301065007,-1020.0,0.0,0.0075591071508824825,5364.932920455933
310000,-685.5049861468375,167.53552190198738,16.8,24.152846623120844,-1020.0,77.2,0.0080058379098773,5546.0814909935
320000,-777.2204198151827,353.46950449676393,4.6,9.2,-1020.0,0.0,0.008017302490770817,5727.497870922089
330000,-846.115811675787,173.74468396897421,56.2,92.02043251365426,-1020.0,1970.3999999999999,0.00884739588946104,5902.712917327881
340000,-851.4309266120196,460.71390790163997,17.8,27.888348821685376,-1020.0,0.0,0.008978062309324741,6084.095124721527
350000,-1351.4918583571912,318.8654547608361,28.4,33.74374016021342,-1020.0,0.0,0.013424758799374104,6264.493374109268
360000,-1052.4112004578114,70.60434521332301,25.4,24.573156085452272,-1020.0,0.0,0.00957339908927679,6443.40664768219
370000,-566.0237884260714,174.73378508094098,24.4,28.632848269077247,-1020.0,0.0,0.007105029653757811,6621.19255566597
380000,-590.0843122631311,62.092162573403044,0.0,0.0,-1020.0,0.0,0.0056955949403345585,6812.876748323441
390000,-211.9035519577563,517.9712584355786,237.2,310.20857499430923,-1020.0,0.0,0.0057621668092906475,6995.766142845154
400000,-456.420269459486,141.52730892571412,5.4,8.935323161475472,-1020.0,1542.117557127212,0.005640099756419659,7169.355181217194
410000,-523.6658978201449,145.7428573974924,11.6,23.2,-1020.0,0.0,0.00545014813542366,7350.228712320328
420000,-582.2699259072542,219.02316639939596,1.0,2.0,-1020.0,0.0,0.00522721977904439,7532.407604217529
430000,-491.4833671942353,153.43793634472792,3.4,6.8,-1020.0,945.5106556776608,0.004955819342285395,7708.791030406952
440000,-563.4853056237101,512.1638213161096,122.0,242.50278348917976,-1020.0,0.0,0.004871632903814316,7891.5001628398895
450000,-555.7425242587924,30.19522045017808,9.0,18.0,-1020.0,0.0,0.004503367934376001,8071.188300609589
460000,-711.1535151824355,383.8302194496136,67.4,134.8,-1020.0,0.0,0.004169021733105183,8263.509102106094
470000,-374.5385079562664,196.44960475481878,55.0,110.0,-1020.0,0.0,0.004188633058220148,8444.050741195679
480000,-538.5491501711309,336.4011098107154,48.0,95.0031578422528,-1020.0,0.0,0.004465608391910791,8625.649091243744
490000,-430.0997817397118,136.3475432192726,0.0,0.0,-1020.0,0.0,0.004385485779494047,8808.516407966614
500000,-589.683066354692,101.26572709457268,6.6,13.199999999999998,-1020.0,0.0,0.004314497113227844,8991.695220470428
